method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
CENTRAL-ECBS,50,0.5,1035,12471,111.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,50,1,553,13692,69.2,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,50,1,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,50,2,335,20718,30.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,50,2,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,50,5,313,43452,32.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,50,5,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,50,10,304,53351,91.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,50,10,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS,50,500,273,62172,27.0,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS,50,500,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,0.2,2516,14887,3.3,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,0.2,2515,14068,79.0,-0.0%,-5.5%,+2292.8%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,0.5,1230,54856,3.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,0.5,1269,60397,439.3,+3.2%,+10.1%,+12450.6%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,1,1155,142875,4.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,1,1166,147208,393.2,+1.0%,+3.0%,+8447.2%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,2,1129,194109,4.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,2,1178,208426,416.0,+4.3%,+7.4%,+8944.4%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,5,1117,227584,4.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,5,1148,235782,315.2,+2.8%,+3.6%,+6751.5%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,10,1130,239088,4.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,10,1142,247275,373.4,+1.1%,+3.4%,+7679.2%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,500,1101,250555,3.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,10,500,1111,253386,368.0,+0.9%,+1.1%,+9585.4%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,0.2,2515,13350,12.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,0.2,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,0.5,1034,13996,11.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,0.5,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,1,661,37566,9.9,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,1,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,2,613,81001,13.2,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,2,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,5,603,114776,9.3,-,-,-,original,CENTRAL-ECBS
