method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
Hungarian+PBS-MLSIPP,30,10,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,500,411,80307,41.5,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,500,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,0.2,2512,11651,17.1,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,0.2,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,0.5,1024,11733,23.5,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,0.5,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,1,526,12318,36.7,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,1,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,2,335,22052,299.1,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,2,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,5,326,44190,120.9,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,5,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,10,330,54028,115.3,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,10,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,500,320,63804,61.3,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,40,500,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,0.2,2513,11399,22.7,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,50,0.5,1022,11525,28.7,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,50,1,526,11871,41.4,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,1,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,50,2,291,14446,83.8,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,50,5,277,34393,3439.8,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,50,10,275,43973,3345.2,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,10,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,50,500,279,53896,48.6,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,50,500,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PP-SIPP,10,0.2,2512,13707,0.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,0.2,2520,13614,0.4,+0.3%,-0.7%,-7.1%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,0.5,1294,53758,1.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,0.5,1421,77243,121.1,+9.8%,+43.7%,+9213.8%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,1,1197,123143,4.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,1,1339,149409,107.9,+11.9%,+21.3%,+2147.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,2,1157,165857,14.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,2,1302,194272,95.0,+12.5%,+17.1%,+564.4%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,5,1151,194487,28.2,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,5,1254,211399,93.1,+8.9%,+8.7%,+230.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,10,1147,204639,36.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,10,1274,223054,93.2,+11.1%,+9.0%,+158.9%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,500,1141,212725,41.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,10,500,1262,231496,105.3,+10.6%,+8.8%,+156.2%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,0.2,2512,12273,1.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,0.2,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,0.5,1029,13173,2.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,0.5,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,1,651,32698,2.5,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,1,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,2,614,66019,2.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,2,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,5,597,92625,6.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,5,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,10,590,102217,9.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,10,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,500,581,110540,13.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,20,500,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,0.2,2512,11791,2.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,0.2,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,0.5,1028,12127,3.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,0.5,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,1,532,13742,5.2,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,1,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,2,432,36507,3.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,2,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,5,414,60132,5.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,5,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,10,402,68987,7.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,10,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,500,400,76759,9.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,30,500,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,0.2,2514,11602,2.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,0.2,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,0.5,1028,11735,3.9,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,0.5,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,1,527,12372,5.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,1,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,2,339,21665,5.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,2,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,5,321,44065,7.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,5,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,10,315,51939,9.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,10,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,500,317,60952,12.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,40,500,,,,,,,not_implemented,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,0.2,2513,11338,2.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,0.2,2515,11600,6.2,+0.1%,+2.3%,+158.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,0.5,1027,11690,7.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,0.5,1020,11778,5.2,-0.7%,+0.8%,-32.5%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,1,527,11860,17.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,1,527,11904,4.2,+0.0%,+0.4%,-75.6%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,2,295,15041,37.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,2,289,15185,3.6,-2.0%,+1.0%,-90.3%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,5,266,34363,59.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,5,263,33461,4.9,-1.1%,-2.6%,-91.7%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,10,269,42342,60.5,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,10,257,41847,6.2,-4.5%,-1.2%,-89.8%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,500,250,50491,53.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PP-SIPP,50,500,258,50121,7.7,+3.2%,-0.7%,-85.5%,reimplementation,Hungarian+PBS-MLA*
Hungarian+wPBS-MLA*,10,0.2,2512,13751,0.1,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,0.5,1319,52438,0.3,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,1,1213,122441,4.0,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,1,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,2,1199,167477,13.3,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,5,1214,195327,25.5,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,10,1180,203401,32.3,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,10,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,500,1171,211201,41.1,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,10,500,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,0.2,2511,12467,0.6,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,0.2,2515,12320,1.7,+0.2%,-1.2%,+183.3%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,0.5,1026,13222,0.5,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,0.5,1036,13386,10.4,+1.0%,+1.2%,+1980.0%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,1,649,31489,0.5,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,1,656,32374,18.7,+1.1%,+2.8%,+3640.0%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,2,606,64497,1.2,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,2,664,67770,15.8,+9.6%,+5.1%,+1216.7%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,5,590,91353,4.3,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,5,613,93646,22.3,+3.9%,+2.5%,+418.6%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,10,592,99990,6.8,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,10,606,102813,32.9,+2.4%,+2.8%,+383.8%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,500,589,109854,11.5,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,20,500,601,112741,31.8,+2.0%,+2.6%,+176.5%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,0.2,2512,12048,1.4,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,0.2,2515,11812,2.7,+0.1%,-2.0%,+92.9%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,0.5,1032,12338,1.1,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,0.5,1029,12502,9.3,-0.3%,+1.3%,+745.5%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,1,534,13551,1.3,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,1,557,14080,39.6,+4.3%,+3.9%,+2946.2%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,2,436,34709,0.9,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,2,441,37743,6856.1,+1.1%,+8.7%,+761688.9%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,5,410,58225,2.1,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,5,421,61075,6993.6,+2.7%,+4.9%,+332928.6%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,10,401,67203,3.5,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,10,431,69259,7355.5,+7.5%,+3.1%,+210057.1%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,500,395,75928,6.0,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,30,500,427,77824,7197.7,+8.1%,+2.5%,+119861.7%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,0.2,2512,11853,1.8,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,0.2,2515,11715,829.8,+0.1%,-1.2%,+46000.0%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,0.5,1031,11984,1.6,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,0.5,1019,11951,11.4,-1.2%,-0.3%,+612.5%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,1,528,12540,1.4,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,1,532,12629,30.2,+0.8%,+0.7%,+2057.1%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,2,341,21459,1.1,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,2,363,24092,40.4,+6.5%,+12.3%,+3572.7%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,5,310,42052,1.6,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,5,329,44149,31.0,+6.1%,+5.0%,+1837.5%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,10,318,51093,2.6,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,10,322,53496,25.7,+1.3%,+4.7%,+888.5%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,500,311,60145,4.4,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,40,500,355,62180,41.6,+14.1%,+3.4%,+845.5%,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,0.2,2512,11779,1.5,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,0.5,1037,11909,3.2,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,1,530,12331,4.9,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,1,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,2,303,14618,7.5,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,5,262,33165,8.6,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,10,267,41188,11.2,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,10,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,500,256,50638,20.9,-,-,-,original,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLA*,50,500,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLA*
Hungarian+wPBS-MLSIPP,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,10,1,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,10,2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,10,5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,10,10,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,10,500,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,50,1,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,50,2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,50,5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,50,10,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
Hungarian+wPBS-MLSIPP,50,500,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+wPBS-MLSIPP
LNS(1s)+PBS-MLA*,10,0.2,2513,13667,347.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,0.5,1277,53380,591.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,1,1205,125233,580.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,2,1150,167070,455.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,2,1171,166469,566.0,+1.8%,-0.4%,+24.1%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,5,1158,195385,405.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,5,1132,192280,488.3,-2.2%,-1.6%,+20.4%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,10,1162,203822,386.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,10,1138,203909,485.2,-2.1%,+0.0%,+25.7%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,500,1131,211914,393.0,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,10,500,1132,210470,463.8,+0.1%,-0.7%,+18.0%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,0.2,2513,12256,842.7,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,0.2,2513,12084,873.1,+0.0%,-1.4%,+3.6%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,0.5,1028,13104,808.4,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,0.5,1034,13203,718.0,+0.6%,+0.8%,-11.2%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,1,646,31719,560.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,1,642,35535,777.1,-0.6%,+12.0%,+38.5%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,2,613,66155,406.0,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,2,618,69510,435.9,+0.8%,+5.1%,+7.4%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,5,595,91767,364.2,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,5,587,93293,386.2,-1.3%,+1.7%,+6.0%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,10,594,101547,345.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,10,592,103081,363.0,-0.3%,+1.5%,+5.0%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,500,580,110189,339.4,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,20,500,587,110341,368.3,+1.2%,+0.1%,+8.5%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,0.2,2512,11791,765.4,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,0.2,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,0.5,1027,12146,786.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,0.5,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,1,535,13595,541.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,1,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,2,423,35147,429.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,2,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,5,403,59155,327.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,5,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,10,410,68796,313.7,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,10,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,500,398,76688,295.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,30,500,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,0.2,2514,11602,777.3,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,0.2,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,0.5,1027,11752,842.7,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,0.5,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,1,526,12202,544.2,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,1,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,2,339,21745,309.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,2,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,5,318,42897,303.3,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,5,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,10,312,52199,250.0,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,10,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,500,321,60473,248.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,40,500,,,,,,,not_run,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,0.2,2513,11338,286.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,0.5,1027,11690,740.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
