method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
Hungarian+PBS-MLSIPP,10,1,0.30,1.50,-4.2,rt
Hungarian+PBS-MLSIPP,20,1,-0.20,-6.10,-84.5,swt+rt
Hungarian+PBS-MLSIPP,30,1,0.00,1.00,-88.4,rt
Hungarian+PBS-MLSIPP,40,1,0.00,0.90,-87.6,rt
Hungarian+PBS-MLSIPP,50,1,0.00,-0.20,-87.0,rt
Hungarian+PBS-MLSIPP,10,2,-0.30,-1.20,5.6,rt
Hungarian+PBS-MLSIPP,20,2,-1.00,-0.40,-76.2,rt
Hungarian+PBS-MLSIPP,30,2,-2.30,-4.20,-91.4,swt+rt
Hungarian+PBS-MLSIPP,40,2,0.30,1.30,-94.8,rt
Hungarian+PBS-MLSIPP,50,2,-1.70,-1.40,-95.4,rt
Hungarian+PBS-MLSIPP,10,5,-1.10,-0.30,4.9,rt
Hungarian+PBS-MLSIPP,20,5,-1.20,-0.30,-58.6,rt
Hungarian+PBS-MLSIPP,30,5,1.20,-1.20,-87.9,rt
Hungarian+PBS-MLSIPP,40,5,0.60,-1.70,-95.1,rt
Hungarian+PBS-MLSIPP,50,5,0.40,-0.30,-97.1,rt
Hungarian+PBS-MLSIPP,20,10,-1.40,-0.50,-60.1,rt
Hungarian+PBS-MLSIPP,30,10,1.70,-0.50,-83.8,rt
Hungarian+PBS-MLSIPP,40,10,3.20,0.50,-92.9,ms+rt
Hungarian+PBS-MLSIPP,50,10,-1.50,0.10,-96.2,rt
Hungarian+PBS-MLSIPP,10,500,0.00,-0.70,5.2,rt
Hungarian+PBS-MLSIPP,20,500,1.50,-0.10,-60.7,rt
Hungarian+PBS-MLSIPP,30,500,1.30,0.20,-77.2,rt
Hungarian+PBS-MLSIPP,40,500,-0.60,-2.00,-89.6,rt
Hungarian+PBS-MLSIPP,50,500,4.40,-0.40,-94.2,ms+rt
Hungarian+PP-SIPP,10,0.2,0.20,1.70,-17.8,rt
Hungarian+PP-SIPP,20,0.2,0.10,0.00,65.9,rt
Hungarian+PP-SIPP,30,0.2,0.20,-1.00,72.8,rt
Hungarian+PP-SIPP,40,0.2,0.10,-0.90,97.9,rt
Hungarian+PP-SIPP,50,0.2,0.10,-0.10,107.9,rt
Hungarian+PP-SIPP,10,0.5,-1.00,-0.70,-65.8,rt
Hungarian+PP-SIPP,20,0.5,-0.30,1.50,-74.1,rt
Hungarian+PP-SIPP,30,0.5,-0.70,1.40,-63.7,rt
Hungarian+PP-SIPP,40,0.5,-0.80,1.00,-59.1,rt
Hungarian+PP-SIPP,50,0.5,-0.70,-1.20,-64.7,rt
Hungarian+PP-SIPP,10,1,-0.30,1.70,3.7,rt
Hungarian+PP-SIPP,20,1,-1.40,-5.70,-87.2,swt+rt
Hungarian+PP-SIPP,30,1,0.40,1.50,-90.4,rt
Hungarian+PP-SIPP,40,1,0.20,0.80,-88.5,rt
Hungarian+PP-SIPP,50,1,-0.20,1.30,-87.1,rt
Hungarian+PP-SIPP,10,2,0.30,0.00,8.1,rt
Hungarian+PP-SIPP,20,2,-2.80,-0.40,-76.6,rt
Hungarian+PP-SIPP,30,2,-1.90,-3.70,-92.1,swt+rt
Hungarian+PP-SIPP,40,2,1.80,3.40,-95.1,swt+rt
Hungarian+PP-SIPP,50,2,0.00,1.00,-95.6,rt
Hungarian+PP-SIPP,10,5,-0.80,-0.60,8.0,rt
Hungarian+PP-SIPP,20,5,0.20,-0.20,-61.4,rt
Hungarian+PP-SIPP,30,5,-1.90,-1.50,-88.4,rt
Hungarian+PP-SIPP,40,5,1.20,-1.40,-95.3,rt
Hungarian+PP-SIPP,50,5,-1.90,-0.10,-97.2,rt
Hungarian+PP-SIPP,10,10,-1.00,-0.80,4.3,rt
Hungarian+PP-SIPP,20,10,-1.50,-1.70,-60.7,rt
Hungarian+PP-SIPP,30,10,1.00,-1.50,-85.3,rt
Hungarian+PP-SIPP,40,10,-1.60,-1.40,-93.7,rt
Hungarian+PP-SIPP,50,10,-1.10,0.10,-96.6,rt
Hungarian+PP-SIPP,10,500,0.20,-0.40,8.6,rt
Hungarian+PP-SIPP,20,500,0.90,-0.70,-61.0,rt
Hungarian+PP-SIPP,30,500,1.30,-0.30,-77.4,rt
Hungarian+PP-SIPP,40,500,-2.50,-1.80,-90.1,rt
Hungarian+PP-SIPP,50,500,5.60,-0.90,-94.4,ms+rt
Hungarian+wPBS-MLA*,10,0.2,0.20,0.50,-14.1,rt
Hungarian+wPBS-MLA*,20,0.2,0.10,-1.90,-23.7,rt
Hungarian+wPBS-MLA*,30,0.2,0.20,-4.60,-46.0,swt+rt
Hungarian+wPBS-MLA*,40,0.2,0.20,-5.00,-52.9,swt+rt
Hungarian+wPBS-MLA*,50,0.2,0.10,-5.70,-52.1,swt+rt
Hungarian+wPBS-MLA*,10,0.5,-1.50,2.00,-36.8,rt
Hungarian+wPBS-MLA*,20,0.5,0.00,1.80,-72.3,rt
Hungarian+wPBS-MLA*,30,0.5,-1.20,-1.10,-75.6,rt
Hungarian+wPBS-MLA*,40,0.5,-1.10,-2.30,-78.0,rt
Hungarian+wPBS-MLA*,50,0.5,-1.60,-3.80,-77.8,swt+rt
Hungarian+wPBS-MLA*,10,1,3.60,4.80,23.0,ms+swt+rt
Hungarian+wPBS-MLA*,20,1,0.90,0.60,-81.9,rt
Hungarian+wPBS-MLA*,30,1,0.90,3.60,-87.6,swt+rt
Hungarian+wPBS-MLA*,40,1,0.40,0.20,-88.2,rt
Hungarian+wPBS-MLA*,50,1,-0.80,-0.10,-85.7,rt
Hungarian+wPBS-MLA*,10,2,-1.30,-1.70,19.3,rt
Hungarian+wPBS-MLA*,20,2,0.20,2.70,-61.1,rt
Hungarian+wPBS-MLA*,30,2,-3.20,3.20,-86.2,ms+swt+rt
Hungarian+wPBS-MLA*,40,2,2.60,12.90,-89.8,swt+rt
