method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
LNS(1s)+wPBS-MLSIPP,30,2,-0.50,3.60,22730.4,swt+rt
LNS(1s)+wPBS-MLSIPP,40,2,3.20,9.70,12340.3,ms+swt+rt
LNS(1s)+wPBS-MLSIPP,50,2,0.30,17.10,6733.8,swt+rt
LNS(1s)+wPBS-MLSIPP,10,5,-3.30,0.10,3431.3,ms+rt
LNS(1s)+wPBS-MLSIPP,20,5,1.20,2.90,5622.4,rt
LNS(1s)+wPBS-MLSIPP,30,5,1.70,1.90,7470.1,rt
LNS(1s)+wPBS-MLSIPP,40,5,8.40,8.00,6463.1,ms+swt+rt
LNS(1s)+wPBS-MLSIPP,50,5,7.30,10.60,4682.8,ms+swt+rt
LNS(1s)+wPBS-MLSIPP,10,10,-0.70,1.70,2439.4,rt
LNS(1s)+wPBS-MLSIPP,20,10,2.20,2.00,3369.4,rt
LNS(1s)+wPBS-MLSIPP,30,10,3.00,3.20,3781.5,swt+rt
LNS(1s)+wPBS-MLSIPP,40,10,1.90,3.00,3692.7,rt
LNS(1s)+wPBS-MLSIPP,50,10,2.60,5.20,3331.2,swt+rt
LNS(1s)+wPBS-MLSIPP,10,500,-0.20,0.10,1709.6,rt
LNS(1s)+wPBS-MLSIPP,20,500,-0.30,0.70,1873.6,rt
LNS(1s)+wPBS-MLSIPP,30,500,5.10,2.50,1994.9,ms+rt
LNS(1s)+wPBS-MLSIPP,40,500,3.20,4.30,1874.4,ms+swt+rt
LNS(1s)+wPBS-MLSIPP,50,500,6.20,3.10,1640.6,ms+swt+rt
TA-Hybrid-STA*,10,500,0.40,0.60,-65.2,rt
TA-Hybrid-STA*,50,500,-1.70,0.20,-25.9,rt
TA-Prioritized-STA*,10,500,0.70,0.20,-92.3,rt
TA-Prioritized-STA*,20,500,-1.10,-0.20,-94.6,rt
TA-Prioritized-STA*,30,500,0.30,0.00,-92.9,rt
TA-Prioritized-STA*,40,500,0.00,-0.20,-90.4,rt
TA-Prioritized-STA*,50,500,-0.80,-0.10,-72.7,rt
TP-SIPP,10,0.2,0.00,-0.40,-89.3,rt
TP-SIPP,20,0.2,0.00,-6.20,-97.1,swt+rt
TP-SIPP,30,0.2,-0.20,-2.90,-98.4,rt
TP-SIPP,40,0.2,0.00,-3.90,-99.1,swt+rt
TP-SIPP,50,0.2,0.00,-4.20,-99.0,swt+rt
TP-SIPP,10,0.5,-5.20,-12.20,-79.3,ms+swt+rt
TP-SIPP,20,0.5,-0.40,-4.10,-96.3,swt+rt
TP-SIPP,30,0.5,0.30,-9.00,-98.0,swt+rt
TP-SIPP,40,0.5,-1.00,-3.70,-98.8,swt+rt
TP-SIPP,50,0.5,-0.50,-3.90,-98.4,swt+rt
TP-SIPP,10,1,-4.60,-6.90,-78.0,ms+swt+rt
TP-SIPP,20,1,-8.70,-21.80,-90.2,ms+swt+rt
TP-SIPP,30,1,-1.20,-24.10,-91.8,swt+rt
TP-SIPP,40,1,-4.80,-9.90,-98.6,ms+swt+rt
TP-SIPP,50,1,1.80,-10.60,-98.6,swt+rt
TP-SIPP,10,2,-2.20,-2.80,-78.7,rt
TP-SIPP,20,2,-4.00,-14.10,-88.0,ms+swt+rt
TP-SIPP,30,2,-12.30,-19.20,-91.5,ms+swt+rt
TP-SIPP,40,2,-10.30,-35.70,-94.4,ms+swt+rt
TP-SIPP,50,2,-14.80,-39.00,-98.3,ms+swt+rt
TP-SIPP,10,5,-2.50,-2.30,-78.3,rt
TP-SIPP,20,5,-6.40,-7.10,-80.0,ms+swt+rt
TP-SIPP,30,5,-0.60,-9.20,-91.0,swt+rt
TP-SIPP,40,5,-15.10,-27.90,-95.6,ms+swt+rt
TP-SIPP,50,5,-20.50,-25.80,-96.4,ms+swt+rt
TP-SIPP,10,10,-3.40,-3.00,-79.0,ms+rt
TP-SIPP,20,10,-6.70,-6.60,-84.8,ms+swt+rt
TP-SIPP,30,10,-19.20,-9.00,-92.3,ms+swt+rt
TP-SIPP,40,10,-6.10,-11.90,-95.2,ms+swt+rt
TP-SIPP,50,10,-8.40,-15.20,-92.7,ms+swt+rt
TP-SIPP,10,500,-4.30,-3.20,-77.0,ms+swt+rt
TP-SIPP,20,500,-6.30,-6.90,-85.0,ms+swt+rt
TP-SIPP,30,500,-1.40,-4.60,-85.8,swt+rt
TP-SIPP,40,500,-7.10,-8.20,-94.3,ms+swt+rt
TP-SIPP,50,500,-14.30,-9.70,-97.7,ms+swt+rt
TP-STA*,10,0.2,0.00,0.00,-90.9,rt
TP-STA*,20,0.2,0.00,0.00,-94.9,rt
TP-STA*,30,0.2,0.00,0.00,-97.9,rt
TP-STA*,40,0.2,0.00,0.00,-98.7,rt
TP-STA*,50,0.2,0.00,0.00,-99.1,rt
TP-STA*,10,0.5,0.00,0.00,-75.3,rt
TP-STA*,20,0.5,0.00,0.00,-93.1,rt
TP-STA*,30,0.5,0.00,0.00,-95.3,rt
TP-STA*,40,0.5,0.00,0.00,-97.8,rt
TP-STA*,50,0.5,0.00,0.00,-98.4,rt
TP-STA*,10,1,0.00,0.00,-80.3,rt
TP-STA*,20,1,0.00,0.00,-82.0,rt
TP-STA*,30,1,0.00,0.00,-80.8,rt
TP-STA*,40,1,0.00,0.00,-96.7,rt
TP-STA*,50,1,0.00,0.00,-98.1,rt
TP-STA*,10,2,0.00,0.00,-81.0,rt
TP-STA*,20,2,0.00,0.00,-81.8,rt
TP-STA*,30,2,0.00,0.00,-84.3,rt
TP-STA*,40,2,0.00,0.00,-82.1,rt
TP-STA*,50,2,0.00,0.00,-97.3,rt
TP-STA*,10,5,0.00,0.00,-82.7,rt
TP-STA*,20,5,0.00,0.00,-67.7,rt
TP-STA*,30,5,0.00,0.00,-84.7,rt
TP-STA*,40,5,0.00,0.00,-84.1,rt
TP-STA*,50,5,0.00,0.00,-94.3,rt
TP-STA*,10,10,0.00,0.00,-81.7,rt
TP-STA*,20,10,0.00,0.00,-73.8,rt
TP-STA*,30,10,0.00,0.00,-87.5,rt
TP-STA*,40,10,0.00,0.00,-90.9,rt
TP-STA*,50,10,0.00,0.00,-89.7,rt
TP-STA*,10,500,0.00,0.00,-80.0,rt
TP-STA*,20,500,0.00,0.00,-77.5,rt
TP-STA*,30,500,0.00,0.00,-77.3,rt
TP-STA*,40,500,0.00,0.00,-90.5,rt
TP-STA*,50,500,0.00,0.00,-97.5,rt
TPTS-SIPP,10,0.2,-0.70,-2.90,-27.8,rt
TPTS-SIPP,20,0.2,-0.20,-2.80,-24.0,rt
TPTS-SIPP,40,0.2,-0.30,-2.30,-6.1,rt
TPTS-SIPP,50,0.2,-0.30,-2.50,-37.8,rt
TPTS-SIPP,10,0.5,-1.60,-15.60,-72.0,swt+rt
TPTS-SIPP,20,0.5,-0.60,-7.70,-75.5,swt+rt
TPTS-SIPP,30,0.5,-0.30,-5.60,-62.1,swt+rt
TPTS-SIPP,40,0.5,-0.10,-4.70,-57.3,swt+rt
TPTS-SIPP,50,0.5,-0.40,-4.30,-32.2,swt+rt
TPTS-SIPP,10,1,-4.20,-7.50,-73.7,ms+swt+rt
TPTS-SIPP,20,1,-9.20,-18.40,-80.0,ms+swt+rt
TPTS-SIPP,30,1,-0.70,-19.50,-69.6,swt+rt
TPTS-SIPP,40,1,-1.80,-12.60,-84.6,swt+rt
TPTS-SIPP,50,1,0.00,-10.60,-74.8,swt+rt
TPTS-SIPP,10,2,-3.20,-2.50,-72.0,ms+rt
TPTS-SIPP,20,2,-6.60,-13.70,-80.6,ms+swt+rt
TPTS-SIPP,30,2,-6.70,-16.20,-81.2,ms+swt+rt
TPTS-SIPP,40,2,-11.30,-23.10,-85.0,ms+swt+rt
TPTS-SIPP,50,2,-15.70,-31.00,-93.7,ms+swt+rt
TPTS-SIPP,10,5,-3.40,-3.60,-72.3,ms+swt+rt
TPTS-SIPP,20,5,-7.80,-5.30,-72.7,ms+swt+rt
TPTS-SIPP,30,5,-8.20,-11.60,-82.7,ms+swt+rt
TPTS-SIPP,40,5,-11.90,-17.20,-88.8,ms+swt+rt
TPTS-SIPP,50,5,-12.20,-17.70,-89.5,ms+swt+rt
TPTS-SIPP,10,10,-4.90,-3.50,-73.7,ms+swt+rt
TPTS-SIPP,20,10,-7.80,-4.40,-79.0,ms+swt+rt
TPTS-SIPP,30,10,-14.10,-13.30,-87.8,ms+swt+rt
TPTS-SIPP,40,10,-11.80,-13.30,-90.3,ms+swt+rt
TPTS-SIPP,50,10,-8.50,-14.00,-76.7,ms+swt+rt
TPTS-SIPP,10,500,-0.90,-2.50,-73.7,rt
TPTS-SIPP,20,500,-8.40,-8.60,-80.0,ms+swt+rt
TPTS-SIPP,30,500,-7.40,-5.10,-79.5,ms+swt+rt
TPTS-SIPP,40,500,-12.20,-7.20,-90.7,ms+swt+rt
TPTS-SIPP,50,500,-20.70,-12.20,-96.1,ms+swt+rt
TPTS-STA*,10,0.2,0.00,0.00,-32.9,rt
TPTS-STA*,20,0.2,0.00,0.00,-12.8,rt
TPTS-STA*,30,0.2,0.00,0.00,7.8,rt
TPTS-STA*,40,0.2,0.00,0.00,4.9,rt
TPTS-STA*,50,0.2,0.00,0.00,7.6,rt
TPTS-STA*,10,0.5,0.00,0.00,-77.3,rt
TPTS-STA*,20,0.5,0.00,0.00,-30.4,rt
TPTS-STA*,30,0.5,0.00,0.00,-21.7,rt
TPTS-STA*,40,0.5,0.00,0.00,-29.0,rt
TPTS-STA*,50,0.5,0.00,0.00,-16.3,rt
TPTS-STA*,10,1,0.00,0.00,-76.7,rt
TPTS-STA*,20,1,0.00,0.00,-58.5,rt
TPTS-STA*,30,1,0.00,0.00,-51.9,rt
TPTS-STA*,40,1,0.00,0.00,-44.3,rt
TPTS-STA*,50,1,0.00,0.00,-36.1,rt
TPTS-STA*,10,2,0.00,0.00,-72.7,rt
TPTS-STA*,20,2,0.00,0.00,-60.6,rt
TPTS-STA*,30,2,0.00,0.00,-47.1,rt
TPTS-STA*,40,2,0.00,0.00,-59.7,rt
TPTS-STA*,50,2,0.00,0.00,-43.7,rt
TPTS-STA*,10,5,0.00,0.00,-71.3,rt
TPTS-STA*,20,5,0.00,0.00,-55.3,rt
TPTS-STA*,30,5,0.00,0.00,-34.1,rt
TPTS-STA*,40,5,0.00,0.00,-49.5,rt
TPTS-STA*,50,5,0.00,0.00,-39.5,rt
TPTS-STA*,10,10,0.00,0.00,-74.3,rt
TPTS-STA*,20,10,0.00,0.00,-60.8,rt
TPTS-STA*,30,10,0.00,0.00,-32.9,rt
TPTS-STA*,40,10,0.00,0.00,-44.2,rt
TPTS-STA*,50,10,0.00,0.00,-48.2,rt
TPTS-STA*,10,500,0.00,0.00,-76.0,rt
TPTS-STA*,20,500,0.00,0.00,-52.7,rt
TPTS-STA*,30,500,0.00,0.00,-48.2,rt
TPTS-STA*,40,500,0.00,0.00,-48.1,rt
TPTS-STA*,50,500,0.00,0.00,-51.1,rt
