0.000158,0,0,30,110,20,44,3,0,0,10,42
0.000185,1,2,48,181,32,56,4.2,1,5,10,42
0.000167,2,4,63,237,41,72,5.1,2,10,10,42
0.000141,1,2,61,243,45,81,5.5,1,15,10,42
0.000187,1,2,65,261,49,84,5.9,1,20,10,42
9.6e-05,0,0,56,232,46,79,5.6,0,21,10,42
0.000137,1,2,69,275,53,96,6.3,1,25,10,42
0.000177,1,2,59,224,43,71,5.3,1,30,10,42
0.000107,0,0,49,190,39,66,4.9,0,31,10,42
0.000135,1,2,64,249,48,89,5.8,1,33,10,42
0.000155,0,0,65,271,55,111,6.5,0,35,10,42
0.00019,1,2,73,292,57,134,6.7,1,40,10,42
0.000182,1,2,67,259,51,116,6.1,1,43,10,42
0.000179,1,2,66,247,48,107,5.8,1,45,10,42
0.000172,1,2,106,372,58,131,6.6,1,46,10,42
0.000265,2,4,104,363,58,110,6.6,2,50,10,42
0.000135,1,1,80,303,58,122,6.8,1,55,10,42
0.000136,1,1,80,299,58,123,6.8,2,58,10,42
0.000178,1,1,76,285,54,111,6.4,2,60,10,42
0.000117,0,0,65,245,55,119,6.5,0,64,10,42
0.000123,0,0,74,289,64,139,7.4,0,65,10,42
0.00013,1,1,91,358,69,131,7.9,1,70,10,42
0.000188,1,1,90,350,68,115,7.8,1,75,10,42
0.000167,0,0,74,289,64,99,7.4,0,77,10,42
0.000163,0,0,80,325,70,90,8,0,80,10,42
0.000163,0,0,68,272,58,111,6.8,0,85,10,42
0.000144,0,0,62,247,52,103,6.2,0,86,10,42
9.1e-05,0,0,47,175,37,82,4.7,0,89,10,42
9.7e-05,0,0,44,162,34,77,4.4,0,90,10,42
0.000124,0,0,48,178,38,90,4.8,0,92,10,42
0.000116,0,0,45,164,35,83,4.5,0,94,10,42
0.000109,0,0,52,201,42,101,5.2,0,95,10,42
0.000189,1,1,67,266,46,122,5.6,1,100,10,42
0.000121,0,0,64,246,54,138,6.4,0,105,10,42
0.000108,0,0,57,218,47,113,5.7,0,110,10,42
