0.001155,3,6,674,2267,232,226,24.2,3,0,10,0
0.002323,3,6,761,2723,303,288,31.3,3,10,10,0
0.001548,1,2,357,1286,216,211,22.6,1,15,10,0
0.001126,0,0,308,1337,292,290,30.2,0,21,10,0
0.001353,0,0,290,1211,257,255,26.7,0,30,10,0
0.001156,0,0,462,1646,299,293,30.9,0,41,10,0
0.02481,3,6,13480,17845,300,297,31,4,53,10,0
0.001221,0,0,330,1450,314,313,32.4,0,66,10,0
0.004161,1,2,2020,3945,290,282,30,1,75,10,0
0.00281,4,8,996,3385,309,296,31.9,4,89,10,0
0.001916,1,2,784,2207,283,278,29.3,1,102,10,0
0.00217,3,6,804,2726,301,293,31.1,3,115,10,0
0.001379,1,2,643,2015,295,283,30.5,1,132,10,0
0.004104,4,8,2255,4898,279,269,28.7,4,148,10,0
0.001147,1,2,440,1757,305,299,31.5,1,164,10,0
0.004477,4,8,2239,5221,320,306,33,4,177,10,0
0.002853,4,8,1282,3467,306,292,31.6,5,196,10,0
0.002184,3,6,1036,2859,308,295,31.5,3,216,10,0
0.002514,2,4,1303,3641,349,336,35.9,2,235,10,0
0.002146,1,2,718,2261,320,313,33,1,253,10,0
0.002412,2,4,1151,2926,290,278,30,2,269,10,0
0.001866,1,1,1056,2926,322,310,33.2,1,283,10,0
0.001541,2,4,698,2561,341,338,35.1,3,305,10,0
0.001549,1,2,701,2459,354,348,36.4,1,326,10,0
0.002331,3,6,1622,4118,355,338,36.5,2,349,10,0
0.00807,8,16,6312,11248,366,346,37.3,7,372,10,0
0.00339,1,2,2481,4859,384,364,39.4,1,394,10,0
0.004185,5,10,2126,5779,404,394,41.3,4,420,10,0
0.008167,11,22,5340,12226,396,372,40.4,9,447,10,0
0.002073,4,8,1390,4058,356,347,36.6,4,475,10,0
0.002157,5,10,1300,4494,397,387,40.7,4,501,10,0
0.006704,5,10,4412,8869,421,396,43.1,7,530,10,0
0.00181,1,1,804,2495,403,389,41.3,1,554,10,0
0.005419,8,16,3710,8975,399,387,40.9,8,583,10,0
0.003504,6,12,2368,6484,433,426,44.3,8,609,10,0
0.003561,5,10,2119,6112,403,391,41.2,3,639,10,0
0.001322,0,0,641,2435,453,443,46.3,0,661,10,0
0.002552,4,8,1151,4224,447,444,45.7,4,692,10,0
0.001918,2,4,1265,4099,444,437,45.4,2,720,10,0
0.003388,5,10,2069,6097,466,458,47.6,4,751,10,0
0.001937,1,2,1170,3658,514,503,52.4,1,781,10,0
0.01072,3,5,7255,11714,469,464,47.9,5,818,10,0
0.006278,3,6,3791,8240,529,525,53.9,4,851,10,0
0.00439,4,8,2322,7037,528,520,53.8,5,889,10,0
0.007058,6,11,3973,10254,628,626,63.8,4,922,10,0
0.224506,8,16,96894,114445,724,716,73.4,9,968,10,0
0.303425,6,12,133434,151966,893,875,90.3,7,1004,10,0
0.190695,6,12,104248,117444,672,628,68.2,5,1063,10,0
0.03676,2,4,23590,30423,447,429,45.7,2,1083,10,0
0.001737,0,0,441,1782,403,403,41.3,0,1086,10,0
0.001472,1,2,941,1737,84,72,9.4,1,1127,10,0
0.001053,1,2,657,1178,45,45,5.5,1,1131,10,0
0.001061,1,2,623,1171,50,38,6,1,1132,10,0
0.000605,1,2,296,621,34,34,4.4,1,1133,10,0
0.000741,2,4,406,871,30,28,4,2,1134,10,0
0.000228,0,0,49,171,28,28,3.8,0,1135,10,0
0.000431,1,2,198,438,24,22,3.4,1,1136,10,0
