  Agent 0 seq_id=0 first_task_release=1320 tasks=52
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=3432
  CostFlow: agents=1 tasks=1 maxlen=235 global_makespan=3432
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=236 global_makespan=3453
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=237 global_makespan=3474
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=238 global_makespan=3495
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=239 global_makespan=3516
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=240 global_makespan=3537
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=241 global_makespan=3558
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=242 global_makespan=3579
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=243 global_makespan=3600
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=244 global_makespan=3621
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=245 global_makespan=3642
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=246 global_makespan=3663
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=247 global_makespan=3684
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=248 global_makespan=3705
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=249 global_makespan=3726
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=250 global_makespan=3747
  CostFlow: giving up after 21 iterations (flow=0/1)
  CostFlow: agents=1 tasks=1 maxlen=251 global_makespan=3768
