  Agent 0 seq_id=0 first_task_release=0 tasks=44
  CostFlow: agents=2 tasks=2 maxlen=104 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=104 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=88 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=88 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=91 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=102 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=102 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=102 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=102 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=102 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=105 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=105 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=105 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=105 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=102 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=128 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=124 global_makespan=1019
  CostFlow: agents=3 tasks=3 maxlen=127 global_makespan=1019
  CostFlow: agents=3 tasks=3 maxlen=127 global_makespan=1019
  CostFlow: agents=3 tasks=3 maxlen=127 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=127 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=127 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=140 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=127 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=127 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=127 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=129 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=129 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=129 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=129 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=129 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=133 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=133 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
