0.001451,3,6,663,2372,248,244,25.7,3,0,10,0
0.002312,3,5,761,2658,301,294,31.1,3,10,10,0
0.001305,0,0,229,934,212,210,22.2,0,19,10,0
0.00166,3,5,738,2772,326,320,33.6,3,30,10,0
0.004365,2,4,1949,3907,291,284,30.1,2,40,10,0
0.001581,2,3,493,1973,324,324,33.4,2,51,10,0
0.001851,1,2,420,1593,264,258,27.4,1,63,10,0
0.001616,1,2,405,1605,280,274,29,1,73,10,0
0.001522,2,4,570,2186,305,302,31.5,2,88,10,0
0.000883,1,1,338,1448,282,277,29.2,1,103,10,0
0.001278,1,2,458,1806,279,273,28.9,1,116,10,0
0.002766,3,6,1467,4092,329,309,33.9,3,128,10,0
0.001184,1,2,471,1729,280,273,29,1,143,10,0
0.004054,3,6,2133,4864,326,315,33.4,3,156,10,0
0.003507,3,6,1619,3665,295,286,30.5,3,173,10,0
0.00152,1,2,555,1923,316,311,32.6,1,189,10,0
0.005525,4,8,2951,5863,312,305,32.2,4,205,10,0
0.001332,0,0,567,1749,297,292,30.7,0,223,10,0
0.001721,2,4,760,2528,338,332,34.8,2,242,10,0
0.00228,2,4,947,2847,329,321,33.9,2,258,10,0
0.003038,4,8,1811,4998,345,333,35.5,4,278,10,0
0.01037,6,12,6970,11931,322,310,33,7,301,10,0
0.00355,4,8,1686,4537,345,329,35.5,4,319,10,0
0.002479,2,4,1591,3973,384,379,39.4,2,341,10,0
0.00348,3,6,2052,5101,357,336,36.7,3,365,10,0
0.019351,6,12,13140,19820,385,364,39.5,6,384,10,0
0.007094,3,6,4977,8580,375,359,38.5,3,407,10,0
0.003334,3,6,1862,4538,346,331,35.6,5,430,10,0
0.009403,4,8,6270,10358,347,327,35.7,3,452,10,0
0.003136,4,8,2008,5018,372,351,38.2,5,475,10,0
0.009535,5,10,7122,11991,399,384,40.9,5,501,10,0
0.004315,3,6,2475,5791,414,401,42.4,2,527,10,0
0.00274,3,6,1304,3935,440,433,45,3,552,10,0
0.003985,3,6,2396,5851,426,413,43.6,3,583,10,0
0.004891,6,12,3034,7569,433,415,44.3,8,610,10,0
0.003174,3,6,1637,4757,434,429,44.4,4,639,10,0
0.009178,4,8,6438,10946,428,417,43.8,4,670,10,0
0.002901,4,8,1512,5117,461,458,47.1,3,698,10,0
0.00202,1,2,887,3103,456,455,46.6,1,726,10,0
0.004606,5,10,2554,7196,451,449,46.1,4,756,10,0
0.004381,5,10,2866,7909,490,481,50,6,788,10,0
0.032723,3,6,21407,28003,455,450,46.5,3,822,10,0
0.010856,4,8,7586,13181,533,522,54.3,4,853,10,0
0.005335,5,9,3134,7668,557,557,56.7,6,891,10,0
0.036182,7,14,20599,29369,628,624,63.7,6,930,10,0
0.012844,7,13,8167,18493,787,770,79.7,9,959,10,0
0.782972,7,14,241236,265806,809,795,81.7,7,1014,10,0
0.063079,3,6,39618,51051,572,554,58.2,3,1060,10,0
0.014323,1,2,11163,14751,373,365,38.3,1,1079,10,0
0.001472,0,0,333,1398,320,320,33,0,1084,10,0
0.005127,0,0,3864,5300,313,278,32.3,0,1089,10,0
0.000615,0,0,129,539,119,119,12.9,0,1112,10,0
0.000706,1,2,207,651,105,99,11.5,1,1115,10,0
0.000318,0,0,60,240,50,50,6,0,1125,10,0
0.000217,0,0,27,92,17,17,2.7,0,1133,10,0
0.000152,0,0,22,65,12,12,2.2,0,1135,10,0
